date,contract,preclose,presettle,open,high,low,close,settle,ch1,ch2,volume,amount,oi,contract_oi,contract_vol
2014-01-02,rb1405,3570.0,3575.0,3562.0,3592.0,3562.0,3590.0,3582.0,15.0,7.0,1019050,3650508.568,1346124,rb1405,rb1405
2014-01-03,rb1405,3590.0,3582.0,3587.0,3588.0,3528.0,3540.0,3550.0,-42.0,-32.0,1260658,4475914.548,1355794,rb1405,rb1405
2014-01-06,rb1405,3540.0,3550.0,3531.0,3540.0,3512.0,3515.0,3526.0,-35.0,-24.0,1107724,3906342.584,1345560,rb1405,rb1405
2014-01-07,rb1405,3515.0,3526.0,3517.0,3520.0,3462.0,3465.0,3480.0,-61.0,-46.0,1517508,5282398.676,1335660,rb1405,rb1405
2014-01-08,rb1405,3465.0,3480.0,3453.0,3481.0,3449.0,3469.0,3463.0,-11.0,-17.0,1222914,4235895.176,1277020,rb1405,rb1405
2014-01-09,rb1405,3469.0,3463.0,3466.0,3488.0,3451.0,3456.0,3472.0,-7.0,9.0,1310698,4550763.654,1277436,rb1405,rb1405
2014-01-10,rb1405,3456.0,3472.0,3452.0,3497.0,3441.0,3492.0,3471.0,20.0,-1.0,1624786,5639754.324,1294374,rb1405,rb1405
2014-01-13,rb1405,3492.0,3471.0,3484.0,3494.0,3449.0,3462.0,3469.0,-9.0,-2.0,1229540,4265548.91,1291692,rb1405,rb1405
2014-01-14,rb1405,3462.0,3469.0,3462.0,3496.0,3456.0,3492.0,3481.0,23.0,12.0,1233518,4294491.026,1304722,rb1405,rb1405
2014-01-15,rb1405,3492.0,3481.0,3488.0,3507.0,3481.0,3498.0,3493.0,17.0,12.0,1169568,4085873.69,1318804,rb1405,rb1405
2014-01-16,rb1405,3498.0,3493.0,3501.0,3509.0,3472.0,3481.0,3490.0,-12.0,-3.0,1286670,4490636.942,1356022,rb1405,rb1405
2014-01-17,rb1405,3481.0,3490.0,3478.0,3478.0,3452.0,3470.0,3463.0,-20.0,-27.0,974250,3374172.582,1351834,rb1405,rb1405
2014-01-20,rb1405,3470.0,3463.0,3465.0,3478.0,3446.0,3451.0,3461.0,-12.0,-2.0,1432548,4959442.446,1333860,rb1405,rb1405
2014-01-21,rb1405,3451.0,3461.0,3441.0,3447.0,3408.0,3410.0,3421.0,-51.0,-40.0,1480214,5064750.224,1410924,rb1405,rb1405
2014-01-22,rb1405,3410.0,3421.0,3404.0,3439.0,3403.0,3424.0,3420.0,3.0,-1.0,1420846,4860140.128,1343642,rb1405,rb1405
2014-01-23,rb1405,3424.0,3420.0,3426.0,3465.0,3420.0,3463.0,3438.0,43.0,18.0,1452702,4995427.72,1367838,rb1405,rb1405
2014-01-24,rb1405,3463.0,3438.0,3453.0,3488.0,3444.0,3487.0,3467.0,49.0,29.0,1437284,4984198.512,1293852,rb1405,rb1405
2014-01-27,rb1405,3487.0,3467.0,3474.0,3479.0,3458.0,3472.0,3467.0,5.0,0.0,876126,3037875.534,1260676,rb1405,rb1405
2014-01-28,rb1405,3472.0,3467.0,3463.0,3465.0,3430.0,3431.0,3445.0,-36.0,-22.0,964522,3323016.4,1214442,rb1405,rb1405
2014-01-29,rb1405,3431.0,3445.0,3430.0,3452.0,3420.0,3443.0,3439.0,-2.0,-6.0,817008,2810041.866,1149854,rb1405,rb1405
2014-01-30,rb1405,3443.0,3439.0,3438.0,3465.0,3433.0,3455.0,3447.0,16.0,8.0,517506,1784355.47,1103700,rb1405,rb1405
2014-02-07,rb1405,3455.0,3447.0,3448.0,3450.0,3401.0,3411.0,3418.0,-36.0,-29.0,926746,3168316.272,1160364,rb1405,rb1405
2014-02-10,rb1405,3411.0,3418.0,3404.0,3428.0,3380.0,3421.0,3405.0,3.0,-13.0,1560496,5313784.742,1252390,rb1405,rb1405
2014-02-11,rb1405,3421.0,3405.0,3412.0,3427.0,3385.0,3386.0,3407.0,-19.0,2.0,1192182,4061854.834,1336366,rb1405,rb1405
2014-02-12,rb1405,3386.0,3407.0,3383.0,3406.0,3382.0,3393.0,3392.0,-14.0,-15.0,1140402,3869154.192,1382352,rb1405,rb1405
2014-02-13,rb1405,3393.0,3392.0,3399.0,3415.0,3383.0,3395.0,3398.0,3.0,6.0,1091764,3710083.232,1373938,rb1405,rb1405
2014-02-14,rb1405,3395.0,3398.0,3400.0,3417.0,3395.0,3412.0,3408.0,14.0,10.0,967856,3298473.77,1300408,rb1405,rb1405
2014-02-17,rb1405,3412.0,3408.0,3415.0,3459.0,3414.0,3455.0,3438.0,47.0,30.0,1488420,5117212.648,1323922,rb1405,rb1405
2014-02-18,rb1405,3455.0,3438.0,3453.0,3463.0,3422.0,3428.0,3439.0,-10.0,1.0,1016036,3494977.07,1279298,rb1405,rb1405
2014-02-19,rb1405,3428.0,3439.0,3433.0,3449.0,3429.0,3436.0,3436.0,-3.0,-3.0,925548,3180854.674,1320644,rb1405,rb1405
2014-02-20,rb1405,3436.0,3436.0,3431.0,3432.0,3391.0,3394.0,3404.0,-42.0,-32.0,1089914,3710651.366,1346680,rb1405,rb1405
2014-02-21,rb1405,3394.0,3404.0,3396.0,3403.0,3386.0,3389.0,3393.0,-15.0,-11.0,798520,2709795.528,1349160,rb1405,rb1405
2014-02-24,rb1405,3389.0,3393.0,3384.0,3387.0,3308.0,3326.0,3336.0,-67.0,-57.0,1518470,5066060.858,1313994,rb1405,rb1405
2014-02-25,rb1405,3326.0,3336.0,3325.0,3342.0,3295.0,3308.0,3320.0,-28.0,-16.0,948250,3148893.824,1227780,rb1405,rb1405
2014-02-26,rb1405,3308.0,3320.0,3301.0,3328.0,3299.0,3317.0,3314.0,-3.0,-6.0,836764,2773297.408,1214770,rb1405,rb1405
2014-02-27,rb1405,3317.0,3314.0,3320.0,3348.0,3310.0,3340.0,3329.0,26.0,15.0,935740,3115674.228,1142100,rb1405,rb1405
2014-02-28,rb1405,3340.0,3329.0,3339.0,3344.0,3298.0,3318.0,3321.0,-11.0,-8.0,1029944,3420676.13,1114038,rb1405,rb1405
2014-03-03,rb1410,3412.0,3422.0,3413.0,3433.0,3396.0,3426.0,3414.0,4.0,-8.0,1055706,3604335.506,1118298,rb1410,rb1410
2014-03-04,rb1410,3426.0,3414.0,3425.0,3430.0,3389.0,3409.0,3407.0,-5.0,-7.0,1316748,4487371.562,1205134,rb1410,rb1410
2014-03-05,rb1410,3409.0,3407.0,3415.0,3438.0,3393.0,3423.0,3415.0,16.0,8.0,2003504,6843194.716,1276708,rb1410,rb1410
2014-03-06,rb1410,3423.0,3415.0,3415.0,3419.0,3387.0,3388.0,3404.0,-27.0,-11.0,1639254,5581236.376,1402296,rb1410,rb1410
2014-03-07,rb1410,3388.0,3404.0,3385.0,3394.0,3322.0,3335.0,3356.0,-69.0,-48.0,2593584,8705282.438,1615348,rb1410,rb1410
2014-03-10,rb1410,3335.0,3356.0,3290.0,3290.0,3221.0,3221.0,3245.0,-135.0,-111.0,1547872,5023474.966,1642986,rb1410,rb1410
2014-03-11,rb1410,3221.0,3245.0,3180.0,3260.0,3171.0,3236.0,3219.0,-9.0,-26.0,2838730,9137935.768,1519850,rb1410,rb1410
2014-03-12,rb1410,3236.0,3219.0,3186.0,3260.0,3141.0,3254.0,3223.0,35.0,4.0,3159628,10185859.01,1650522,rb1410,rb1410
2014-03-13,rb1410,3254.0,3223.0,3259.0,3285.0,3245.0,3284.0,3265.0,61.0,42.0,2265162,7397148.604,1652640,rb1410,rb1410
2014-03-14,rb1410,3284.0,3265.0,3270.0,3276.0,3220.0,3262.0,3248.0,-3.0,-17.0,2095746,6807441.968,1678554,rb1410,rb1410
2014-03-17,rb1410,3262.0,3248.0,3270.0,3281.0,3227.0,3229.0,3245.0,-19.0,-3.0,2095964,6803117.098,1749124,rb1410,rb1410
2014-03-18,rb1410,3229.0,3245.0,3228.0,3275.0,3225.0,3240.0,3249.0,-5.0,4.0,2215350,7199710.778,1735142,rb1410,rb1410
2014-03-19,rb1410,3240.0,3249.0,3241.0,3260.0,3226.0,3242.0,3240.0,-7.0,-9.0,2278624,7384323.62,1782028,rb1410,rb1410
2014-03-20,rb1410,3242.0,3240.0,3266.0,3278.0,3230.0,3230.0,3254.0,-10.0,14.0,2621828,8531875.728,1771492,rb1410,rb1410
2014-03-21,rb1410,3230.0,3254.0,3231.0,3252.0,3211.0,3220.0,3229.0,-34.0,-25.0,2690310,8689148.088,1817176,rb1410,rb1410
2014-03-24,rb1410,3220.0,3229.0,3215.0,3224.0,3190.0,3213.0,3206.0,-16.0,-23.0,2403414,7707025.644,1927104,rb1410,rb1410
2014-03-25,rb1410,3213.0,3206.0,3214.0,3312.0,3210.0,3287.0,3264.0,81.0,58.0,4139074,13510187.99,1934416,rb1410,rb1410
2014-03-26,rb1410,3287.0,3264.0,3284.0,3286.0,3262.0,3275.0,3271.0,11.0,7.0,1924026,6294108.958,1914626,rb1410,rb1410
2014-03-27,rb1410,3275.0,3271.0,3265.0,3295.0,3253.0,3269.0,3272.0,-2.0,1.0,2310856,7562356.134,1884442,rb1410,rb1410
2014-03-28,rb1410,3269.0,3272.0,3271.0,3310.0,3269.0,3307.0,3289.0,35.0,17.0,2425214,7977925.456,1844754,rb1410,rb1410
2014-03-31,rb1410,3307.0,3289.0,3311.0,3346.0,3310.0,3328.0,3326.0,39.0,37.0,2564106,8529549.812,1885346,rb1410,rb1410
2014-04-01,rb1410,3328.0,3326.0,3328.0,3336.0,3316.0,3331.0,3326.0,5.0,0.0,1668948,5552278.922,1895238,rb1410,rb1410
2014-04-02,rb1410,3331.0,3326.0,3345.0,3352.0,3316.0,3317.0,3328.0,-9.0,2.0,2100082,6990864.996,1979114,rb1410,rb1410
2014-04-03,rb1410,3317.0,3328.0,3314.0,3343.0,3311.0,3336.0,3328.0,8.0,0.0,2085484,6941680.076,1931950,rb1410,rb1410
2014-04-04,rb1410,3336.0,3328.0,3339.0,3377.0,3334.0,3372.0,3352.0,44.0,24.0,2226006,7463369.25,1930628,rb1410,rb1410
2014-04-08,rb1410,3372.0,3352.0,3388.0,3425.0,3383.0,3414.0,3405.0,62.0,53.0,2354892,8019578.062,1912244,rb1410,rb1410
2014-04-09,rb1410,3414.0,3405.0,3416.0,3419.0,3380.0,3384.0,3402.0,-21.0,-3.0,1868136,6357158.352,1953718,rb1410,rb1410
2014-04-10,rb1410,3384.0,3402.0,3390.0,3405.0,3367.0,3368.0,3385.0,-34.0,-17.0,2138006,7237938.564,2012070,rb1410,rb1410
2014-04-11,rb1410,3368.0,3385.0,3373.0,3376.0,3353.0,3360.0,3366.0,-25.0,-19.0,1780520,5993313.682,2039264,rb1410,rb1410
2014-04-14,rb1410,3360.0,3366.0,3356.0,3394.0,3348.0,3360.0,3369.0,-6.0,3.0,2492596,8398600.126,1969124,rb1410,rb1410
2014-04-15,rb1410,3360.0,3369.0,3357.0,3369.0,3336.0,3369.0,3353.0,0.0,-16.0,2006394,6728549.406,1974872,rb1410,rb1410
2014-04-16,rb1410,3369.0,3353.0,3359.0,3360.0,3323.0,3329.0,3337.0,-24.0,-16.0,2099342,7007238.156,2052922,rb1410,rb1410
